2025/12/10 00:06:03.658 Cnt: 00000359	State: 04	Flags: 0x04130080	Pos: 3.287e+00	Vel: 3.905e+02	Iq: 5.340e+00	DcV: 2.195e+01	DcI: 1.594e+00	DcP:-3.279e+01	ExV: 2.473e+01	ExI: 3.521e-01	ExP: 8.678e+00	WoV: 1.176e+01	WoI: 3.229e-01	WoP: 3.795e+00	Tm:-2.083e+02	Tr: 2.773e+02
2025/12/10 00:06:13.716 Cnt: 00000369	State: 04	Flags: 0x04130080	Pos: 2.382e+00	Vel: 2.193e+02	Iq: 2.995e+00	DcV: 2.214e+01	DcI: 4.446e-01	DcP:-9.562e+00	ExV: 2.474e+01	ExI: 3.207e-01	ExP: 7.915e+00	WoV: 1.176e+01	WoI: 3.221e-01	WoP: 3.786e+00	Tm:-2.762e+02	Tr: 2.898e+02
2025/12/10 00:06:23.776 Cnt: 00000379	State: 04	Flags: 0x04130080	Pos: 4.349e+00	Vel: 3.102e+02	Iq: 4.256e+00	DcV: 2.243e+01	DcI: 9.826e-01	DcP:-2.040e+01	ExV: 2.473e+01	ExI: 3.395e-01	ExP: 8.365e+00	WoV: 1.175e+01	WoI: 3.219e-01	WoP: 3.782e+00	Tm:-1.075e+02	Tr: 1.884e+02
2025/12/10 00:06:33.833 Cnt: 00000389	State: 04	Flags: 0x04030080	Pos: 1.841e+00	Vel: 5.116e+01	Iq: 1.818e+01	DcV: 2.311e+01	DcI: 2.789e-02	DcP: 2.819e-01	ExV: 2.474e+01	ExI: 3.482e-01	ExP: 8.584e+00	WoV: 1.176e+01	WoI: 3.250e-01	WoP: 3.818e+00	Tm:-2.781e+02	Tr: 2.794e+02
2025/12/10 00:06:43.893 Cnt: 00000399	State: 04	Flags: 0x04130080	Pos: 4.303e+00	Vel: 2.722e+02	Iq: 3.661e+00	DcV: 2.331e+01	DcI: 8.109e-01	DcP:-1.522e+01	ExV: 2.471e+01	ExI: 3.272e-01	ExP: 8.061e+00	WoV: 1.176e+01	WoI: 3.223e-01	WoP: 3.788e+00	Tm:-7.411e+01	Tr: 1.581e+02
2025/12/10 00:06:53.954 Cnt: 00000409	State: 04	Flags: 0x04130080	Pos: 5.053e+00	Vel: 2.332e+02	Iq: 3.190e+00	DcV: 2.353e+01	DcI: 6.075e-01	DcP:-1.065e+01	ExV: 2.472e+01	ExI: 3.299e-01	ExP: 8.127e+00	WoV: 1.176e+01	WoI: 3.241e-01	WoP: 3.810e+00	Tm:-9.384e-01	Tr: 1.235e+02
2025/12/10 00:07:04.013 Cnt: 00000419	State: 04	Flags: 0x04130080	Pos: 6.094e+00	Vel: 3.200e+02	Iq: 4.397e+00	DcV: 2.367e+01	DcI: 1.274e+00	DcP:-2.100e+01	ExV: 2.471e+01	ExI: 3.340e-01	ExP: 8.237e+00	WoV: 1.175e+01	WoI: 3.193e-01	WoP: 3.751e+00	Tm: 9.439e+01	Tr: 1.621e+02
2025/12/10 00:07:14.070 Cnt: 00000429	State: 04	Flags: 0x04030080	Pos: 4.233e+00	Vel: 7.294e+01	Iq: 3.338e+01	DcV: 2.367e+01	DcI: 6.648e-03	DcP: 1.572e-01	ExV: 2.470e+01	ExI: 3.546e-01	ExP: 8.723e+00	WoV: 1.176e+01	WoI: 3.218e-01	WoP: 3.782e+00	Tm:-1.939e+01	Tr: 3.012e+01
2025/12/10 00:07:24.118 Cnt: 00000439	State: 04	Flags: 0x04130080	Pos: 1.984e+00	Vel: 2.232e+02	Iq: 1.845e+00	DcV: 2.369e+01	DcI: 2.509e-01	DcP:-5.315e+00	ExV: 2.472e+01	ExI: 3.557e-01	ExP: 8.779e+00	WoV: 1.176e+01	WoI: 3.233e-01	WoP: 3.799e+00	Tm:-2.849e+02	Tr: 3.021e+02
2025/12/10 00:07:34.179 Cnt: 00000449	State: 04	Flags: 0x04130080	Pos: 1.679e+00	Vel: 1.353e+02	Iq: 1.830e+00	DcV: 2.380e+01	DcI: 1.408e-01	DcP:-2.472e+00	ExV: 2.474e+01	ExI: 3.391e-01	ExP: 8.364e+00	WoV: 1.176e+01	WoI: 3.241e-01	WoP: 3.809e+00	Tm:-3.261e+02	Tr: 3.288e+02
