2025/11/21 00:06:24.560 Cnt: 00000379	State: 04	Flags: 0x04130080	Pos:-3.005e+00	Vel: 2.131e+02	Iq: 1.500e+00	DcV: 1.942e+01	DcI: 2.713e-01	DcP:-4.039e+00	ExV: 2.552e+01	ExI: 3.466e-01	ExP: 8.819e+00	WoV: 1.176e+01	WoI: 3.225e-01	WoP: 3.791e+00	Tm:-3.020e+02	Tr: 3.149e+02
2025/11/21 00:06:34.615 Cnt: 00000389	State: 04	Flags: 0x04130080	Pos: 2.957e+00	Vel: 3.667e+02	Iq: 4.807e+00	DcV: 2.006e+01	DcI: 1.733e+00	DcP:-2.907e+01	ExV: 2.552e+01	ExI: 3.767e-01	ExP: 9.567e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.753e+00	Tm: 1.793e+02	Tr: 2.374e+02
2025/11/21 00:06:44.680 Cnt: 00000399	State: 04	Flags: 0x04130080	Pos:-1.125e+00	Vel: 3.183e+02	Iq: 4.086e+00	DcV: 2.072e+01	DcI: 1.093e+00	DcP:-2.057e+01	ExV: 2.552e+01	ExI: 3.515e-01	ExP: 8.947e+00	WoV: 1.176e+01	WoI: 3.177e-01	WoP: 3.736e+00	Tm:-1.508e+02	Tr: 2.197e+02
2025/11/21 00:06:54.744 Cnt: 00000409	State: 04	Flags: 0x04130080	Pos:-2.252e+00	Vel: 3.512e+02	Iq: 4.564e+00	DcV: 2.114e+01	DcI: 1.540e+00	DcP:-2.665e+01	ExV: 2.553e+01	ExI: 3.429e-01	ExP: 8.725e+00	WoV: 1.176e+01	WoI: 3.213e-01	WoP: 3.778e+00	Tm:-2.528e+02	Tr: 2.929e+02
2025/11/21 00:07:04.793 Cnt: 00000419	State: 04	Flags: 0x04130080	Pos:-3.905e+00	Vel: 1.444e+02	Iq: 1.957e+00	DcV: 2.109e+01	DcI: 2.428e-01	DcP:-3.248e+00	ExV: 2.552e+01	ExI: 3.379e-01	ExP: 8.607e+00	WoV: 1.176e+01	WoI: 3.208e-01	WoP: 3.772e+00	Tm:-3.898e+02	Tr: 3.910e+02
2025/11/21 00:07:14.852 Cnt: 00000429	State: 04	Flags: 0x04130080	Pos: 1.577e+00	Vel: 3.680e+02	Iq: 4.906e+00	DcV: 2.153e+01	DcI: 1.697e+00	DcP:-2.684e+01	ExV: 2.552e+01	ExI: 3.154e-01	ExP: 8.016e+00	WoV: 1.176e+01	WoI: 3.190e-01	WoP: 3.750e+00	Tm: 9.991e+01	Tr: 1.758e+02
2025/11/21 00:07:24.910 Cnt: 00000439	State: 04	Flags: 0x04130080	Pos:-5.941e-01	Vel: 1.503e+02	Iq: 1.954e+00	DcV: 2.152e+01	DcI: 2.049e-01	DcP:-3.700e+00	ExV: 2.552e+01	ExI: 3.330e-01	ExP: 8.482e+00	WoV: 1.176e+01	WoI: 3.206e-01	WoP: 3.770e+00	Tm:-1.076e+02	Tr: 1.373e+02
2025/11/21 00:07:34.951 Cnt: 00000449	State: 04	Flags: 0x04030080	Pos:-3.110e-01	Vel: 4.018e+01	Iq: 3.249e+01	DcV: 2.151e+01	DcI: 6.548e-03	DcP: 1.407e-01	ExV: 2.552e+01	ExI: 3.692e-01	ExP: 9.409e+00	WoV: 1.176e+01	WoI: 3.203e-01	WoP: 3.767e+00	Tm:-2.773e+01	Tr: 3.302e+01
2025/11/21 00:07:45.010 Cnt: 00000459	State: 04	Flags: 0x04130080	Pos:-4.483e+00	Vel: 2.558e+02	Iq: 3.340e+00	DcV: 2.186e+01	DcI: 7.403e-01	DcP:-1.312e+01	ExV: 2.552e+01	ExI: 3.733e-01	ExP: 9.507e+00	WoV: 1.176e+01	WoI: 3.180e-01	WoP: 3.738e+00	Tm:-4.445e+02	Tr: 4.461e+02
2025/11/21 00:07:55.071 Cnt: 00000469	State: 04	Flags: 0x04130080	Pos: 1.184e+00	Vel: 3.272e+02	Iq: 4.227e+00	DcV: 2.242e+01	DcI: 1.337e+00	DcP:-2.304e+01	ExV: 2.553e+01	ExI: 3.392e-01	ExP: 8.629e+00	WoV: 1.176e+01	WoI: 3.190e-01	WoP: 3.751e+00	Tm: 2.997e+01	Tr: 1.645e+02
2025/11/21 00:08:05.123 Cnt: 00000479	State: 04	Flags: 0x04030080	Pos:-1.864e-01	Vel: 5.218e+01	Iq: 3.537e+01	DcV: 2.251e+01	DcI: 6.530e-03	DcP: 1.468e-01	ExV: 2.552e+01	ExI: 3.556e-01	ExP: 9.052e+00	WoV: 1.176e+01	WoI: 3.213e-01	WoP: 3.777e+00	Tm:-9.370e+00	Tr: 2.861e+01
2025/11/21 00:08:15.180 Cnt: 00000489	State: 04	Flags: 0x04130080	Pos:-1.450e+00	Vel: 1.941e+02	Iq: 2.593e+00	DcV: 2.261e+01	DcI: 3.219e-01	DcP:-6.786e+00	ExV: 2.552e+01	ExI: 3.568e-01	ExP: 9.095e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.753e+00	Tm:-2.008e+02	Tr: 2.214e+02
2025/11/21 00:08:25.238 Cnt: 00000499	State: 04	Flags: 0x04030080	Pos:-1.808e+00	Vel: 1.048e+02	Iq: 2.807e+01	DcV: 2.263e+01	DcI: 2.521e-02	DcP: 3.167e-01	ExV: 2.552e+01	ExI: 3.315e-01	ExP: 8.368e+00	WoV: 1.176e+01	WoI: 3.172e-01	WoP: 3.729e+00	Tm:-1.702e+02	Tr: 1.766e+02
2025/11/21 00:08:35.292 Cnt: 00000509	State: 04	Flags: 0x04130080	Pos:-2.415e+00	Vel: 1.127e+02	Iq: 1.523e+00	DcV: 2.274e+01	DcI: 7.335e-02	DcP:-1.430e+00	ExV: 2.552e+01	ExI: 3.353e-01	ExP: 8.519e+00	WoV: 1.176e+01	WoI: 3.200e-01	WoP: 3.763e+00	Tm:-2.842e+02	Tr: 2.876e+02
2025/11/21 00:08:45.341 Cnt: 00000519	State: 04	Flags: 0x04030080	Pos:-2.715e+00	Vel: 3.893e+01	Iq: 3.575e+01	DcV: 2.283e+01	DcI: 6.636e-03	DcP: 1.512e-01	ExV: 2.553e+01	ExI: 3.704e-01	ExP: 9.439e+00	WoV: 1.176e+01	WoI: 3.192e-01	WoP: 3.754e+00	Tm:-2.360e+02	Tr: 2.361e+02
