2025/11/19 00:06:42.058 Cnt: 00000399	State: 04	Flags: 0x04030080	Pos: 3.156e+00	Vel: 1.015e+02	Iq: 2.883e+01	DcV: 1.658e+01	DcI: 1.507e-02	DcP: 3.116e-02	ExV: 2.526e+01	ExI: 2.987e-01	ExP: 7.490e+00	WoV: 1.176e+01	WoI: 3.199e-01	WoP: 3.762e+00	Tm:-1.275e+02	Tr: 1.345e+02
2025/11/19 00:06:52.111 Cnt: 00000409	State: 04	Flags: 0x04130080	Pos: 2.649e+00	Vel: 2.518e+02	Iq: 3.321e+00	DcV: 1.678e+01	DcI: 8.854e-01	DcP:-1.261e+01	ExV: 2.526e+01	ExI: 3.318e-01	ExP: 8.361e+00	WoV: 1.176e+01	WoI: 3.241e-01	WoP: 3.811e+00	Tm:-2.082e+02	Tr: 2.381e+02
2025/11/19 00:07:02.169 Cnt: 00000419	State: 04	Flags: 0x04130080	Pos: 3.490e+00	Vel: 1.114e+02	Iq: 1.534e+00	DcV: 1.687e+01	DcI: 1.170e-01	DcP:-1.594e+00	ExV: 2.526e+01	ExI: 3.212e-01	ExP: 8.084e+00	WoV: 1.176e+01	WoI: 3.236e-01	WoP: 3.803e+00	Tm:-1.369e+02	Tr: 1.469e+02
2025/11/19 00:07:12.210 Cnt: 00000429	State: 04	Flags: 0x04030080	Pos: 4.441e+00	Vel: 1.669e+01	Iq: 3.388e+01	DcV: 1.685e+01	DcI: 6.961e-03	DcP: 1.173e-01	ExV: 2.525e+01	ExI: 3.273e-01	ExP: 8.224e+00	WoV: 1.176e+01	WoI: 3.240e-01	WoP: 3.808e+00	Tm: 7.435e+00	Tr: 9.766e+00
2025/11/19 00:07:22.270 Cnt: 00000439	State: 04	Flags: 0x04130080	Pos: 3.757e+00	Vel: 1.069e+02	Iq: 1.422e+00	DcV: 1.706e+01	DcI: 1.143e-01	DcP:-1.227e+00	ExV: 2.525e+01	ExI: 3.055e-01	ExP: 7.667e+00	WoV: 1.176e+01	WoI: 3.216e-01	WoP: 3.781e+00	Tm:-1.153e+02	Tr: 1.269e+02
2025/11/19 00:07:32.323 Cnt: 00000449	State: 04	Flags: 0x04130080	Pos: 3.863e+00	Vel: 1.014e+02	Iq: 2.995e+01	DcV: 1.708e+01	DcI: 1.857e-02	DcP: 1.226e-01	ExV: 2.528e+01	ExI: 3.056e-01	ExP: 7.692e+00	WoV: 1.176e+01	WoI: 3.209e-01	WoP: 3.774e+00	Tm:-7.097e+01	Tr: 8.415e+01
2025/11/19 00:07:42.371 Cnt: 00000459	State: 04	Flags: 0x04030080	Pos: 3.459e+00	Vel: 4.815e+01	Iq: 2.905e+01	DcV: 1.708e+01	DcI: 6.922e-03	DcP: 1.182e-01	ExV: 2.526e+01	ExI: 3.304e-01	ExP: 8.330e+00	WoV: 1.176e+01	WoI: 3.207e-01	WoP: 3.768e+00	Tm:-1.082e+02	Tr: 1.096e+02
2025/11/19 00:07:52.421 Cnt: 00000469	State: 04	Flags: 0x04130080	Pos: 3.425e+00	Vel: 1.043e+02	Iq: 1.292e+00	DcV: 1.709e+01	DcI: 1.666e-01	DcP:-1.763e+00	ExV: 2.529e+01	ExI: 3.087e-01	ExP: 7.795e+00	WoV: 1.176e+01	WoI: 3.210e-01	WoP: 3.773e+00	Tm:-1.468e+02	Tr: 1.524e+02
2025/11/19 00:08:02.472 Cnt: 00000479	State: 04	Flags: 0x04130080	Pos: 3.886e+00	Vel: 1.194e+02	Iq: 2.806e+01	DcV: 1.708e+01	DcI: 2.582e-02	DcP: 2.927e-01	ExV: 2.526e+01	ExI: 3.248e-01	ExP: 8.178e+00	WoV: 1.176e+01	WoI: 3.247e-01	WoP: 3.818e+00	Tm:-7.200e+01	Tr: 8.811e+01
2025/11/19 00:08:12.526 Cnt: 00000489	State: 04	Flags: 0x04130080	Pos: 3.571e+00	Vel: 2.406e+02	Iq: 3.147e+00	DcV: 1.737e+01	DcI: 6.964e-01	DcP:-1.114e+01	ExV: 2.526e+01	ExI: 3.123e-01	ExP: 7.860e+00	WoV: 1.176e+01	WoI: 3.216e-01	WoP: 3.782e+00	Tm:-1.500e+02	Tr: 1.946e+02
2025/11/19 00:08:22.566 Cnt: 00000499	State: 04	Flags: 0x04030080	Pos: 4.437e+00	Vel: 7.117e+01	Iq: 3.608e+01	DcV: 1.731e+01	DcI: 6.844e-03	DcP: 1.184e-01	ExV: 2.526e+01	ExI: 3.300e-01	ExP: 8.303e+00	WoV: 1.176e+01	WoI: 3.249e-01	WoP: 3.820e+00	Tm: 7.655e+00	Tr: 2.699e+01
